Index,Loc_cluster,type_category,avg_rating
483,59,Automotive,4.428571428571430
484,59,Education,4.2
485,59,Finance,4.4
486,59,Food_Beverage,4.44
487,59,Healthcare,4.3875
488,59,Retail_Shopping,4.3
489,59,Tourism,4.566666666666670
490,60,,4.2
491,60,Automotive,4.066666666666670
492,60,Education,4.05
493,60,Food_Beverage,3.55
494,60,Healthcare,4.15
495,60,Tourism,3.9285714285714300
496,61,,3.611111111111110
497,61,Automotive,3.6800000000000000
498,61,Education,3.4
499,61,Entertainment,3.4
500,61,Finance,3.4454545454545500
501,61,Food_Beverage,3.566666666666670
502,61,Healthcare,3.5
503,61,Retail_Shopping,3.7
504,61,Tourism,3.8
505,62,,4.427450980392160
506,62,Automotive,4.5
507,62,Education,4.4
508,62,Finance,4.4
509,62,Food_Beverage,4.4000000000000000
510,62,Healthcare,4.457894736842110
511,62,Professional_serv,4.5
512,62,Real_Estate,4.5
513,62,Retail_Shopping,4.378571428571430
514,62,Tourism,4.437931034482760
515,63,,4.723076923076920
516,63,Automotive,4.7
517,63,Education,4.8
518,63,Food_Beverage,4.75
519,63,Healthcare,4.75
520,63,Professional_serv,4.766666666666670
521,63,Real_Estate,4.7
522,63,Retail_Shopping,4.7
523,63,Tourism,4.745454545454550
524,64,,4.0200000000000000
525,64,Automotive,4.1
526,64,Education,4.2
527,64,Entertainment,4.2
528,64,Finance,3.9750000000000000
529,64,Food_Beverage,4.077777777777780
530,64,Healthcare,4.133333333333330
531,64,Tourism,4.16
532,65,,4.74949494949495
533,65,Automotive,4.7
534,65,Education,4.75
535,65,Finance,4.733333333333330
536,65,Food_Beverage,4.7727272727272700
537,65,Healthcare,4.754166666666670
538,65,Professional_serv,4.85
539,65,Real_Estate,4.7
540,65,Retail_Shopping,4.7439024390243900
541,65,Tourism,4.766666666666670
542,66,,3.951851851851850
543,66,Automotive,3.957142857142860
544,66,Finance,3.85
545,66,Food_Beverage,3.96
546,66,Healthcare,3.9375
547,66,Real_Estate,3.9
548,66,Retail_Shopping,3.872727272727270
549,66,Tourism,3.95
550,67,,4.940625
551,67,Education,4.9
552,67,Food_Beverage,4.85
553,67,Healthcare,4.894117647058820
554,67,Professional_serv,4.933333333333330
555,67,Real_Estate,4.96
556,67,Retail_Shopping,4.925
557,67,Tourism,4.94375
558,68,,4.121428571428570
559,68,Automotive,4.15
560,68,Education,4.0
561,68,Food_Beverage,4.05
562,68,Healthcare,4.1
563,68,Professional_serv,4.1
564,68,Real_Estate,4.2
565,68,Retail_Shopping,4.096
566,68,Tourism,4.066666666666670
567,69,,4.908888888888890
568,69,Automotive,5.0
569,69,Education,4.925
570,69,Finance,4.85
571,69,Healthcare,4.869696969696970
572,69,Professional_serv,4.86
573,69,Real_Estate,4.9000000000000000
574,69,Retail_Shopping,4.966666666666670
575,69,Tourism,4.95
576,70,,2.766666666666670
577,70,Education,2.6666666666666700
578,70,Food_Beverage,2.0
579,70,Tourism,3.1
580,71,,3.723076923076920
581,71,Automotive,3.5666666666666700
582,71,Finance,3.5
583,71,Food_Beverage,3.5
584,71,Healthcare,3.55
585,71,Tourism,4.1
586,72,,2.9
587,72,Automotive,2.966666666666670
588,72,Finance,2.966666666666670
589,72,Food_Beverage,3.0
590,73,,3.651807228915660
591,73,Automotive,3.75
592,73,Finance,3.625
593,73,Food_Beverage,3.6785714285714300
594,73,Healthcare,3.5923076923076900
595,73,Professional_serv,3.6
596,73,Real_Estate,3.5
597,73,Retail_Shopping,3.6617021276595700
598,73,Tourism,3.66875
599,74,,1.9
600,74,Automotive,1.0
601,74,Finance,2.0
602,74,Retail_Shopping,2.0
603,74,Tourism,1.0
604,75,,4.396341463414630
605,75,Automotive,4.228571428571430
606,75,Education,4.333333333333330
607,75,Finance,4.4
